home_team,away_team,home_score,away_score,tournament,neutral,home_team_total_points,away_team_total_points,home_B1_overall,home_B2_overall,home_B3_overall,home_B4_overall,home_M1_overall,home_M2_overall,home_M3_overall,home_M4_overall,home_T1_overall,home_T2_overall,home_K1_overall,home_B1_preferred_foot,home_B2_preferred_foot,home_B3_preferred_foot,home_B4_preferred_foot,home_M1_preferred_foot,home_M2_preferred_foot,home_M3_preferred_foot,home_M4_preferred_foot,home_T1_preferred_foot,home_T2_preferred_foot,home_K1_preferred_foot,home_B1_pace,home_B2_pace,home_B3_pace,home_B4_pace,home_M1_pace,home_M2_pace,home_M3_pace,home_M4_pace,home_T1_pace,home_T2_pace,home_K1_pace,home_B1_shooting,home_B2_shooting,home_B3_shooting,home_B4_shooting,home_M1_shooting,home_M2_shooting,home_M3_shooting,home_M4_shooting,home_T1_shooting,home_T2_shooting,home_K1_shooting,home_B1_passing,home_B2_passing,home_B3_passing,home_B4_passing,home_M1_passing,home_M2_passing,home_M3_passing,home_M4_passing,home_T1_passing,home_T2_passing,home_K1_passing,home_B1_dribbling,home_B2_dribbling,home_B3_dribbling,home_B4_dribbling,home_M1_dribbling,home_M2_dribbling,home_M3_dribbling,home_M4_dribbling,home_T1_dribbling,home_T2_dribbling,home_K1_dribbling,home_B1_defending,home_B2_defending,home_B3_defending,home_B4_defending,home_M1_defending,home_M2_defending,home_M3_defending,home_M4_defending,home_T1_defending,home_T2_defending,home_K1_defending,home_B1_physic,home_B2_physic,home_B3_physic,home_B4_physic,home_M1_physic,home_M2_physic,home_M3_physic,home_M4_physic,home_T1_physic,home_T2_physic,home_K1_physic,home_B1_goalkeeping_diving,home_B2_goalkeeping_diving,home_B3_goalkeeping_diving,home_B4_goalkeeping_diving,home_M1_goalkeeping_diving,home_M2_goalkeeping_diving,home_M3_goalkeeping_diving,home_M4_goalkeeping_diving,home_T1_goalkeeping_diving,home_T2_goalkeeping_diving,home_K1_goalkeeping_diving,home_B1_goalkeeping_handling,home_B2_goalkeeping_handling,home_B3_goalkeeping_handling,home_B4_goalkeeping_handling,home_M1_goalkeeping_handling,home_M2_goalkeeping_handling,home_M3_goalkeeping_handling,home_M4_goalkeeping_handling,home_T1_goalkeeping_handling,home_T2_goalkeeping_handling,home_K1_goalkeeping_handling,home_B1_goalkeeping_kicking,home_B2_goalkeeping_kicking,home_B3_goalkeeping_kicking,home_B4_goalkeeping_kicking,home_M1_goalkeeping_kicking,home_M2_goalkeeping_kicking,home_M3_goalkeeping_kicking,home_M4_goalkeeping_kicking,home_T1_goalkeeping_kicking,home_T2_goalkeeping_kicking,home_K1_goalkeeping_kicking,home_B1_goalkeeping_positioning,home_B2_goalkeeping_positioning,home_B3_goalkeeping_positioning,home_B4_goalkeeping_positioning,home_M1_goalkeeping_positioning,home_M2_goalkeeping_positioning,home_M3_goalkeeping_positioning,home_M4_goalkeeping_positioning,home_T1_goalkeeping_positioning,home_T2_goalkeeping_positioning,home_K1_goalkeeping_positioning,home_B1_goalkeeping_reflexes,home_B2_goalkeeping_reflexes,home_B3_goalkeeping_reflexes,home_B4_goalkeeping_reflexes,home_M1_goalkeeping_reflexes,home_M2_goalkeeping_reflexes,home_M3_goalkeeping_reflexes,home_M4_goalkeeping_reflexes,home_T1_goalkeeping_reflexes,home_T2_goalkeeping_reflexes,home_K1_goalkeeping_reflexes,home_B1_Position_Best_Rating,home_B2_Position_Best_Rating,home_B3_Position_Best_Rating,home_B4_Position_Best_Rating,home_M1_Position_Best_Rating,home_M2_Position_Best_Rating,home_M3_Position_Best_Rating,home_M4_Position_Best_Rating,home_T1_Position_Best_Rating,home_T2_Position_Best_Rating,home_K1_Position_Best_Rating,away_B1_overall,away_B2_overall,away_B3_overall,away_B4_overall,away_M1_overall,away_M2_overall,away_M3_overall,away_M4_overall,away_T1_overall,away_T2_overall,away_K1_overall,away_B1_preferred_foot,away_B2_preferred_foot,away_B3_preferred_foot,away_B4_preferred_foot,away_M1_preferred_foot,away_M2_preferred_foot,away_M3_preferred_foot,away_M4_preferred_foot,away_T1_preferred_foot,away_T2_preferred_foot,away_K1_preferred_foot,away_B1_pace,away_B2_pace,away_B3_pace,away_B4_pace,away_M1_pace,away_M2_pace,away_M3_pace,away_M4_pace,away_T1_pace,away_T2_pace,away_K1_pace,away_B1_shooting,away_B2_shooting,away_B3_shooting,away_B4_shooting,away_M1_shooting,away_M2_shooting,away_M3_shooting,away_M4_shooting,away_T1_shooting,away_T2_shooting,away_K1_shooting,away_B1_passing,away_B2_passing,away_B3_passing,away_B4_passing,away_M1_passing,away_M2_passing,away_M3_passing,away_M4_passing,away_T1_passing,away_T2_passing,away_K1_passing,away_B1_dribbling,away_B2_dribbling,away_B3_dribbling,away_B4_dribbling,away_M1_dribbling,away_M2_dribbling,away_M3_dribbling,away_M4_dribbling,away_T1_dribbling,away_T2_dribbling,away_K1_dribbling,away_B1_defending,away_B2_defending,away_B3_defending,away_B4_defending,away_M1_defending,away_M2_defending,away_M3_defending,away_M4_defending,away_T1_defending,away_T2_defending,away_K1_defending,away_B1_physic,away_B2_physic,away_B3_physic,away_B4_physic,away_M1_physic,away_M2_physic,away_M3_physic,away_M4_physic,away_T1_physic,away_T2_physic,away_K1_physic,away_B1_goalkeeping_diving,away_B2_goalkeeping_diving,away_B3_goalkeeping_diving,away_B4_goalkeeping_diving,away_M1_goalkeeping_diving,away_M2_goalkeeping_diving,away_M3_goalkeeping_diving,away_M4_goalkeeping_diving,away_T1_goalkeeping_diving,away_T2_goalkeeping_diving,away_K1_goalkeeping_diving,away_B1_goalkeeping_handling,away_B2_goalkeeping_handling,away_B3_goalkeeping_handling,away_B4_goalkeeping_handling,away_M1_goalkeeping_handling,away_M2_goalkeeping_handling,away_M3_goalkeeping_handling,away_M4_goalkeeping_handling,away_T1_goalkeeping_handling,away_T2_goalkeeping_handling,away_K1_goalkeeping_handling,away_B1_goalkeeping_kicking,away_B2_goalkeeping_kicking,away_B3_goalkeeping_kicking,away_B4_goalkeeping_kicking,away_M1_goalkeeping_kicking,away_M2_goalkeeping_kicking,away_M3_goalkeeping_kicking,away_M4_goalkeeping_kicking,away_T1_goalkeeping_kicking,away_T2_goalkeeping_kicking,away_K1_goalkeeping_kicking,away_B1_goalkeeping_positioning,away_B2_goalkeeping_positioning,away_B3_goalkeeping_positioning,away_B4_goalkeeping_positioning,away_M1_goalkeeping_positioning,away_M2_goalkeeping_positioning,away_M3_goalkeeping_positioning,away_M4_goalkeeping_positioning,away_T1_goalkeeping_positioning,away_T2_goalkeeping_positioning,away_K1_goalkeeping_positioning,away_B1_goalkeeping_reflexes,away_B2_goalkeeping_reflexes,away_B3_goalkeeping_reflexes,away_B4_goalkeeping_reflexes,away_M1_goalkeeping_reflexes,away_M2_goalkeeping_reflexes,away_M3_goalkeeping_reflexes,away_M4_goalkeeping_reflexes,away_T1_goalkeeping_reflexes,away_T2_goalkeeping_reflexes,away_K1_goalkeeping_reflexes,away_B1_Position_Best_Rating,away_B2_Position_Best_Rating,away_B3_Position_Best_Rating,away_B4_Position_Best_Rating,away_M1_Position_Best_Rating,away_M2_Position_Best_Rating,away_M3_Position_Best_Rating,away_M4_Position_Best_Rating,away_T1_Position_Best_Rating,away_T2_Position_Best_Rating,away_K1_Position_Best_Rating
Mali,Nigeria,2,1,African Nations Championship,TRUE,664,710,71,72,70,70,77,76,70,71,76,74,70,0,0,1,1,1,0,0,0,0,1,0,78,76,76,54,67,60,79,77,61,86,0,59,40,53,45,67,59,56,62,77,73,0,64,62,65,55,70,70,66,71,59,73,0,68,62,68,49,66,69,75,73,68,74,0,71,72,69,70,75,72,69,62,29,40,0,81,75,75,72,76,84,83,70,83,74,0,9,13,5,10,6,10,6,6,5,12,75,15,13,10,7,6,11,7,6,9,15,69,10,12,11,11,9,7,14,11,5,12,63,8,13,10,8,5,9,11,9,7,6,62,14,15,8,8,6,8,6,15,7,8,78,73,72,70,70,77,76,72,71,76,74,70,73,70,71,67,78,77,75,75,80,75,80,1,0,1,0,0,1,0,0,0,0,0,77,51,81,80,61,93,80,84,88,93,0,59,48,61,64,53,74,61,69,80,74,0,62,55,68,63,69,66,72,68,56,66,0,69,62,65,68,68,77,76,80,76,81,0,73,70,69,66,78,34,69,37,28,29,0,85,84,80,83,88,68,73,69,83,49,0,15,9,13,9,13,9,12,8,10,6,77,15,9,12,13,8,12,8,6,10,11,81,8,8,14,14,15,5,12,7,12,12,80,13,13,15,8,13,15,13,15,11,14,79,12,12,9,10,13,8,6,15,13,13,90,73,72,71,69,78,77,75,75,80,78,80
Ghana,Congo,1,0,African Nations Championship,TRUE,849,421,72,72,71,71,78,76,76,75,80,79,67,0,0,0,0,1,1,1,0,0,1,0,82,82,69,90,81,91,70,64,77,84,0,68,37,60,49,72,64,74,68,80,74,0,69,52,63,62,74,72,73,70,78,75,0,76,61,69,70,80,73,74,70,81,82,0,68,72,69,67,62,65,74,74,70,69,0,73,77,80,75,78,76,83,77,84,82,0,14,13,11,5,9,9,2,2,5,4,68,4,8,5,15,5,15,4,2,10,3,67,8,6,14,10,11,6,4,2,14,2,66,12,15,10,6,6,14,2,2,15,3,64,13,7,15,9,14,13,4,4,5,4,71,73,72,71,71,78,76,76,75,82,80,67,65,59,58,58,72,70,77,66,73,74,66,1,0,0,0,0,0,0,1,0,0,0,65,58,65,63,68,85,47,84,90,65,0,30,28,43,40,51,57,47,41,73,70,0,46,34,56,55,61,66,43,56,52,66,0,41,36,51,54,63,73,44,56,74,71,0,63,59,56,58,71,31,79,65,29,72,0,74,65,66,60,77,41,81,71,71,79,0,13,14,8,14,12,6,13,11,13,6,67,6,15,11,5,9,8,10,8,11,11,65,7,7,14,11,14,11,6,15,11,7,58,9,12,11,11,5,11,8,15,9,13,63,12,14,6,11,5,13,7,11,8,10,68,65,59,59,57,72,69,67,63,73,72,66
South Africa,Mali,1,1,African Nations Championship,FALSE,554,664,72,72,69,70,73,74,73,72,79,74,77,0,0,1,1,0,0,0,0,0,1,0,81,57,85,89,74,84,70,76,73,80,0,49,50,73,55,60,55,56,64,72,72,0,65,49,67,59,73,70,68,71,80,71,0,69,63,73,70,74,80,74,75,84,77,0,72,73,71,67,67,47,66,39,52,34,0,73,72,54,73,63,57,69,61,67,62,0,15,6,5,6,13,6,8,5,8,8,78,9,6,10,12,6,13,11,6,15,15,75,5,14,14,6,11,13,12,14,11,12,85,8,12,13,15,12,11,10,12,10,5,77,13,6,15,6,14,9,10,11,10,5,79,72,72,72,70,74,74,73,72,79,74,77,71,72,70,70,77,76,70,71,76,74,70,0,0,1,1,1,0,0,0,0,1,0,78,76,76,54,67,60,79,77,61,86,0,59,40,53,45,67,59,56,62,77,73,0,64,62,65,55,70,70,66,71,59,73,0,68,62,68,49,66,69,75,73,68,74,0,71,72,69,70,75,72,69,62,29,40,0,81,75,75,72,76,84,83,70,83,74,0,9,13,5,10,6,10,6,6,5,12,75,15,13,10,7,6,11,7,6,9,15,69,10,12,11,11,9,7,14,11,5,12,63,8,13,10,8,5,9,11,9,7,6,62,14,15,8,8,6,8,6,15,7,8,78,73,72,70,70,77,76,72,71,76,74,70
Norway,Poland,0,3,Friendly,TRUE,558,461,74,74,72,72,75,75,74,72,76,72,72,0,1,0,0,0,0,0,1,1,0,0,33,58,81,72,78,68,68,70,76,85,0,41,52,65,66,68,51,60,64,79,71,0,50,59,69,68,71,69,72,72,63,63,0,44,56,70,72,72,65,77,76,74,79,0,75,75,68,69,73,78,63,62,36,39,0,80,76,73,78,81,78,71,74,63,55,0,7,13,12,7,21,13,6,8,5,14,75,13,5,9,6,21,7,12,9,8,7,68,9,5,9,8,27,8,10,15,7,8,78,8,10,14,13,23,12,5,14,15,13,68,13,12,7,15,22,9,6,7,7,6,78,74,74,73,72,75,75,74,74,76,74,72,79,75,75,72,79,82,75,75,87,82,80,0,0,0,0,0,0,1,1,0,0,0,52,55,63,78,59,81,79,67,80,87,0,29,39,65,52,57,67,70,75,84,74,0,44,54,71,61,70,73,76,76,74,79,0,43,51,67,60,60,74,76,74,85,83,0,81,75,74,72,80,81,37,47,39,58,0,78,83,78,80,86,82,66,63,78,72,0,10,5,7,5,15,14,8,5,15,14,83,14,11,11,14,14,11,11,7,6,8,79,5,15,5,12,8,14,12,11,12,9,70,8,9,11,5,6,6,14,13,8,13,76,10,15,7,15,7,12,11,12,10,15,84,79,75,74,73,79,78,76,75,87,82,80
South Africa,Nigeria,1,3,African Nations Championship,FALSE,576,701,72,72,69,70,73,74,73,72,79,74,77,0,0,1,1,0,0,0,0,0,1,0,81,57,85,89,74,84,70,76,73,80,0,49,50,73,55,60,55,56,64,72,72,0,65,49,67,59,73,70,68,71,80,71,0,69,63,73,70,74,80,74,75,84,77,0,72,73,71,67,67,47,66,39,52,34,0,73,72,54,73,63,57,69,61,67,62,0,15,6,5,6,13,6,8,5,8,8,78,9,6,10,12,6,13,11,6,15,15,75,5,14,14,6,11,13,12,14,11,12,85,8,12,13,15,12,11,10,12,10,5,77,13,6,15,6,14,9,10,11,10,5,79,72,72,72,70,74,74,73,72,79,74,77,73,70,71,67,78,77,75,75,80,75,80,1,0,1,0,0,1,0,0,0,0,0,77,51,81,80,61,93,80,84,88,93,0,59,48,61,64,53,74,61,69,80,74,0,62,55,68,63,69,66,72,68,56,66,0,69,62,65,68,68,77,76,80,76,81,0,73,70,69,66,78,34,69,37,28,29,0,85,84,80,83,88,68,73,69,83,49,0,15,9,13,9,13,9,12,8,10,6,77,15,9,12,13,8,12,8,6,10,11,81,8,8,14,14,15,5,12,7,12,12,80,13,13,15,8,13,15,13,15,11,14,79,12,12,9,10,13,8,6,15,13,13,90,73,72,71,69,78,77,75,75,80,78,80
Iceland,Sweden,0,2,Friendly,TRUE,624,793,71,67,68,67,72,70,69,67,77,75,57,0,0,0,1,1,1,0,0,0,0,0,69,68,49,61,67,76,78,74,68,69,0,39,61,40,56,70,69,68,59,80,80,0,47,65,42,62,72,65,63,63,77,60,0,42,68,40,58,69,73,71,67,73,70,0,72,63,69,64,63,48,31,61,51,32,0,78,76,75,79,81,70,72,69,66,65,0,8,10,8,6,6,6,9,12,12,5,57,7,5,7,5,7,5,6,5,7,14,58,5,15,8,5,12,13,13,8,9,15,54,8,9,10,9,7,9,13,11,14,14,56,11,8,13,15,13,7,5,9,11,10,60,71,68,68,67,72,70,69,68,76,75,57,77,76,75,74,79,78,77,74,90,78,74,0,1,0,1,0,1,0,1,0,0,0,48,53,74,84,65,56,52,76,76,66,0,60,55,54,65,71,76,65,59,91,78,0,57,64,68,68,82,83,66,75,81,72,0,54,51,67,72,70,73,66,75,86,75,0,78,76,77,71,72,64,77,72,34,42,0,77,76,72,75,75,75,85,70,86,74,0,6,8,11,10,15,9,13,8,13,8,75,8,11,6,8,11,10,8,11,15,7,67,11,15,7,6,13,7,12,9,10,13,60,9,13,12,8,6,15,12,12,9,11,81,14,10,9,11,8,12,8,10,12,5,76,77,76,75,74,79,78,77,74,90,78,74
Chile,Costa Rica,4,0,Friendly,FALSE,1005,743,76,74,76,72,77,78,78,76,84,85,83,0,0,0,0,0,0,1,0,0,0,0,76,77,81,71,86,77,71,73,88,78,0,65,51,57,63,77,72,47,71,81,78,0,61,74,73,75,69,79,74,80,75,80,0,67,70,76,72,83,83,69,77,87,81,0,78,72,71,71,31,39,74,44,39,81,0,86,74,70,69,65,60,74,65,66,83,0,14,9,6,7,12,10,12,8,10,4,85,7,11,7,6,12,7,9,5,10,2,82,9,7,6,10,9,4,8,7,15,4,85,6,6,6,8,7,9,14,14,12,2,78,6,13,6,14,9,10,9,10,13,4,86,77,76,76,73,78,78,78,76,84,82,83,72,71,71,66,73,73,69,72,78,75,79,0,0,0,1,0,1,1,1,1,1,0,75,87,69,74,65,67,77,76,70,88,0,50,53,28,51,71,73,60,53,74,71,0,52,65,46,65,72,74,66,69,76,71,0,58,71,52,64,70,72,74,69,83,77,0,72,67,71,61,56,54,66,70,52,37,0,71,72,74,74,76,67,67,72,56,74,0,8,11,14,14,8,6,10,15,8,7,81,9,9,8,15,15,11,11,12,6,14,73,9,12,6,12,6,13,7,8,11,13,68,14,6,7,7,8,5,9,12,6,14,76,11,13,13,12,12,6,15,5,5,13,82,72,71,71,66,74,73,71,71,78,76,79
Costa Rica,South Korea,0,1,Friendly,TRUE,743,581,72,71,71,66,73,73,69,72,78,75,79,0,0,0,1,0,1,1,1,1,1,0,75,87,69,74,65,67,77,76,70,88,0,50,53,28,51,71,73,60,53,74,71,0,52,65,46,65,72,74,66,69,76,71,0,58,71,52,64,70,72,74,69,83,77,0,72,67,71,61,56,54,66,70,52,37,0,71,72,74,74,76,67,67,72,56,74,0,8,11,14,14,8,6,10,15,8,7,81,9,9,8,15,15,11,11,12,6,14,73,9,12,6,12,6,13,7,8,11,13,68,14,6,7,7,8,5,9,12,6,14,76,11,13,13,12,12,6,15,5,5,13,82,72,71,71,66,74,73,71,71,78,76,79,72,71,69,70,76,74,73,72,78,76,73,0,0,1,1,0,0,1,0,0,1,0,62,77,88,78,76,67,81,59,65,86,0,55,45,46,52,74,67,50,71,82,78,0,55,53,67,65,73,79,71,74,72,67,0,56,55,65,62,80,75,74,67,68,77,0,72,72,65,69,55,57,72,57,32,29,0,84,77,75,74,64,67,68,69,68,58,0,13,5,10,15,10,13,7,7,10,10,72,7,8,10,12,13,8,10,12,5,12,72,15,13,12,6,9,6,12,12,11,12,69,9,10,6,10,14,8,12,13,9,5,74,10,9,14,12,8,9,12,14,8,9,76,72,71,70,70,76,75,73,72,78,77,73
Morocco,Nigeria,3,4,African Nations Championship,TRUE,486,701,77,72,71,73,77,84,75,74,81,79,69,0,1,1,0,0,0,0,0,0,0,0,67,53,67,62,88,75,68,73,80,80,0,27,34,35,67,70,45,75,67,72,73,0,49,51,56,76,72,54,71,75,82,76,0,52,53,56,72,81,64,72,78,86,84,0,78,74,71,64,35,88,49,52,42,31,0,82,73,73,64,73,84,74,72,55,62,0,8,9,8,9,10,7,10,4,10,3,72,6,7,10,4,13,4,11,13,14,5,64,8,11,9,12,6,8,14,5,13,3,63,14,10,7,8,5,7,13,5,13,3,66,7,5,8,7,12,11,8,8,14,5,76,77,72,71,71,77,76,75,75,81,80,69,73,70,71,67,78,77,75,75,80,75,80,1,0,1,0,0,1,0,0,0,0,0,77,51,81,80,61,93,80,84,88,93,0,59,48,61,64,53,74,61,69,80,74,0,62,55,68,63,69,66,72,68,56,66,0,69,62,65,68,68,77,76,80,76,81,0,73,70,69,66,78,34,69,37,28,29,0,85,84,80,83,88,68,73,69,83,49,0,15,9,13,9,13,9,12,8,10,6,77,15,9,12,13,8,12,8,6,10,11,81,8,8,14,14,15,5,12,7,12,12,80,13,13,15,8,13,15,13,15,11,14,79,12,12,9,10,13,8,6,15,13,13,90,73,72,71,69,78,77,75,75,80,78,80
Mexico,South Korea,4,0,Friendly,TRUE,892,581,78,76,74,74,76,76,81,76,82,81,80,1,0,0,0,1,0,0,0,1,1,0,68,61,86,89,83,67,86,73,86,86,0,42,52,56,69,68,68,80,66,77,81,0,60,70,69,70,75,77,64,73,74,69,0,57,50,71,72,82,77,76,74,85,88,0,79,75,73,69,70,56,31,67,30,29,0,79,72,75,71,65,61,63,78,65,55,0,11,14,6,6,6,14,14,5,8,6,83,14,9,6,15,9,14,12,9,14,9,68,13,8,7,5,9,6,9,14,8,11,76,8,6,15,11,10,9,12,6,13,7,78,9,11,5,10,9,11,11,15,10,5,86,78,76,74,74,77,77,77,76,82,82,80,72,71,69,70,76,74,73,72,78,76,73,0,0,1,1,0,0,1,0,0,1,0,62,77,88,78,76,67,81,59,65,86,0,55,45,46,52,74,67,50,71,82,78,0,55,53,67,65,73,79,71,74,72,67,0,56,55,65,62,80,75,74,67,68,77,0,72,72,65,69,55,57,72,57,32,29,0,84,77,75,74,64,67,68,69,68,58,0,13,5,10,15,10,13,7,7,10,10,72,7,8,10,12,13,8,10,12,5,12,72,15,13,12,6,9,6,12,12,11,12,69,9,10,6,10,14,8,12,13,9,5,74,10,9,14,12,8,9,12,14,8,9,76,72,71,70,70,76,75,73,72,78,77,73
