game_id,team_1,team_2,labe_win_team,label_win,predicted_win_team,predicted_win,group
0,Netherlands,Senegal,,0,Netherlands,0,A
1,Netherlands,Ecuador,,2,Draw,1,A
2,Netherlands,Qatar,,0,Draw,2,A
3,Senegal,Ecuador,,0,Draw,1,A
4,Senegal,Qatar,,0,Senegal,2,A
5,Ecuador,Qatar,,0,Qatar,0,A
6,England,United States,,2,England,2,B
7,England,Iran,,0,Iran,0,B
8,England,Wales,,0,Wales,2,B
9,United States,Iran,,0,United States,2,B
10,United States,Wales,,2,United States,2,B
11,Iran,Wales,,0,Draw,2,B
12,Argentina,Poland,,0,Draw,0,C
13,Argentina,Mexico,,0,Draw,2,C
14,Argentina,Saudi Arabia,,1,Draw,0,C
15,Poland,Mexico,,2,Draw,0,C
16,Poland,Saudi Arabia,,0,Poland,2,C
17,Mexico,Saudi Arabia,,0,Mexico,1,C
18,France,Australia,,0,France,0,D
19,France,Tunisia,,1,Tunisia,0,D
20,France,Denmark,,0,Denmark,2,D
21,Australia,Tunisia,,0,Australia,2,D
22,Australia,Denmark,,0,Australia,2,D
23,Tunisia,Denmark,,2,Draw,2,D
24,Japan,Spain,,0,Draw,0,E
25,Japan,Germany,,0,Draw,1,E
26,Japan,Costa Rica,,1,Draw,2,E
27,Spain,Germany,,2,Draw,2,E
28,Spain,Costa Rica,,0,Draw,2,E
29,Germany,Costa Rica,,0,Germany,0,E
30,Morocco,Croatia,,2,,,F
31,Morocco,Belgium,,0,,,F
32,Morocco,Canada,,0,,,F
33,Croatia,Belgium,,2,,,F
34,Croatia,Canada,,0,,,F
35,Belgium,Canada,,0,,,F
36,Brazil,Switzerland,,0,,,G
37,Brazil,Cameroon,,1,,,G
38,Brazil,Serbia,,0,,,G
39,Switzerland,Cameroon,,0,,,G
40,Switzerland,Serbia,,0,,,G
41,Cameroon,Serbia,,2,,,G
42,Portugal,South Korea,,1,,,H
43,Portugal,Uruguay,,0,,,H
44,Portugal,Ghana,,0,,,H
45,South Korea,Uruguay,,2,,,H
46,South Korea,Ghana,,1,,,H
47,Uruguay,Ghana,,0,,,H
